LambLife starting: 50x50 grid, seed=2, ticks=10000
tick=7700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=251507.0/3987889.3 size=11.4/499 age=7696.9/7700 gen=4
tick=7800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=254799.3/4042683.0 size=11.4/499 age=7796.9/7800 gen=4
tick=7900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=258079.3/4092879.4 size=11.4/499 age=7896.9/7900 gen=4
=== Diversity @ tick 8000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=134330.3 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=282766.1 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=110711.9 center=(22,24)
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=274128.6 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=312301.4 center=(27,21)
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=132011.5 center=(23,26)
  #7: hash=d00900ec926a0a46 pop=50 avg_energy=339402.7 center=(20,24)
  #8: hash=2c0252c55f91c01e pop=39 avg_energy=158235.7 center=(24,17)
  #9: hash=0a481eb844d7ae83 pop=37 avg_energy=181635.9 center=(27,25)
  #10: hash=c8ebdfc8786d6db9 pop=27 avg_energy=299960.4 center=(26,25)
tick=8000 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=261380.6/4150597.5 size=11.4/499 age=7996.9/8000 gen=4
tick=8100 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=264653.3/4201124.0 size=11.4/499 age=8096.9/8100 gen=4
tick=8200 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=267933.8/4248717.2 size=11.4/499 age=8196.9/8200 gen=4
tick=8300 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=271197.9/4301088.5 size=11.4/499 age=8296.9/8300 gen=4
tick=8400 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=274479.6/4350496.8 size=11.4/499 age=8396.9/8400 gen=4
tick=8500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=277750.0/4408191.4 size=11.4/499 age=8496.9/8500 gen=4
tick=8600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=281044.6/4450835.8 size=11.4/499 age=8596.9/8600 gen=4
tick=8700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=284293.1/4501151.7 size=11.4/499 age=8696.9/8700 gen=4
tick=8800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=287581.1/4542582.9 size=11.4/499 age=8796.9/8800 gen=4
tick=8900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=290854.7/4584796.3 size=11.4/499 age=8896.9/8900 gen=4
=== Diversity @ tick 9000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=151170.6 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=318203.4 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=124525.4 center=(22,24)
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=307913.2 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=351580.3 center=(27,21)
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=148463.9 center=(23,26)
  #7: hash=d00900ec926a0a46 pop=50 avg_energy=381366.3 center=(20,24)
  #8: hash=2c0252c55f91c01e pop=39 avg_energy=178040.3 center=(24,17)
  #9: hash=0a481eb844d7ae83 pop=37 avg_energy=204471.9 center=(27,25)
  #10: hash=c8ebdfc8786d6db9 pop=27 avg_energy=337805.6 center=(26,25)
tick=9000 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=294131.4/4636371.2 size=11.4/499 age=8996.9/9000 gen=4
tick=9100 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=297395.6/4689682.2 size=11.4/499 age=9096.9/9100 gen=4
tick=9200 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=300690.6/4740459.0 size=11.4/499 age=9196.9/9200 gen=4
tick=9300 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=303947.3/4805743.9 size=11.4/499 age=9296.9/9300 gen=4
tick=9400 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=307221.3/4865618.6 size=11.4/499 age=9396.9/9400 gen=4
tick=9500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=310482.8/4924937.5 size=11.4/499 age=9496.9/9500 gen=4
tick=9600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=313763.8/4971736.5 size=11.4/499 age=9596.9/9600 gen=4
tick=9700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=317025.6/5009636.7 size=11.4/499 age=9696.9/9700 gen=4
tick=9800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=320276.0/5057902.8 size=11.4/499 age=9796.9/9800 gen=4
tick=9900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=323547.6/5114614.4 size=11.4/499 age=9896.9/9900 gen=4
=== Diversity @ tick 10000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=167980.9 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=353734.7 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=138316.4 center=(22,24)
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=341598.0 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=390805.6 center=(27,21)
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=164930.0 center=(23,26)
